frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
136,18.0067,19.7132,16.1079,33.4126,21.4924,18.2788,22.1735,15.4559,16.5798,22.7577,18.8692,26.5073
137,18.2581,17.1504,16.2934,33.3648,22.8227,17.4771,22.8430,15.1510,16.6487,22.4763,19.0324,26.3507
138,19.0938,19.2095,16.2928,32.6532,26.0299,18.2634,23.6696,14.9298,20.2723,22.6679,19.3795,26.4824
139,18.8429,17.2612,16.2108,31.9990,26.1218,17.7807,23.2831,14.7927,20.8579,22.9075,18.9726,25.8990
140,19.1157,17.1534,16.0632,33.2813,24.7825,18.3102,23.0611,15.3754,20.1074,22.8200,18.5218,25.7178
141,18.9429,19.1978,15.8180,32.3787,26.9436,17.6564,20.6559,14.4595,20.6172,23.1316,19.0942,25.9416
142,19.2909,19.3950,15.7253,32.3923,26.6083,17.4248,20.9594,14.5746,20.2663,22.8750,18.5517,26.0884
143,19.9583,17.0712,15.6289,32.9263,26.2740,18.3655,20.6814,15.2557,16.2344,22.7702,18.9848,26.4997
144,19.8414,16.7659,16.5959,33.3718,27.4523,17.5638,22.9544,14.0663,15.8540,23.5172,18.4741,22.4264
145,19.2611,15.9433,16.8166,32.7544,25.2078,17.7133,23.0899,14.5024,15.5988,21.9677,18.7287,26.5972
146,18.8715,16.4726,17.1658,29.2093,25.6351,18.5280,21.1640,15.1814,15.6319,21.4158,18.9099,26.5990
147,18.8176,15.3816,17.0355,29.4125,24.7155,18.8337,21.4500,15.6687,15.3518,21.1795,19.3357,26.6827
148,18.8933,15.8696,17.3361,28.7221,24.6046,18.7832,23.6331,15.6330,16.0929,20.6811,19.1258,26.6244
149,19.5344,15.7192,17.1649,28.2549,23.7134,19.0979,21.1255,15.5588,17.5887,20.8921,18.7662,23.1853
150,18.5192,15.9223,17.2857,28.3843,21.3458,19.0015,23.4809,15.3464,15.7356,21.9918,18.3966,22.9317
151,17.5335,15.3652,17.4680,28.3094,22.8189,21.4842,24.1351,16.3900,15.1566,22.0564,19.1027,22.7176
152,18.1335,15.5723,17.1956,29.1124,20.9385,22.1329,24.0338,16.5910,15.8317,21.0454,18.8514,23.2489
153,17.9073,15.7281,17.9796,29.0764,23.3489,22.7786,24.8325,16.5600,15.8282,20.2076,18.7654,23.6912
154,17.8798,15.8198,17.7705,29.0384,22.8742,21.9199,24.6774,17.2083,16.4563,20.3047,19.0352,22.9175
155,17.6997,15.6615,17.7270,29.4417,22.6214,21.8844,24.7264,17.2091,15.5715,18.7842,19.3470,22.8819
156,17.4432,16.2476,18.8306,30.1308,22.9491,21.5567,24.2757,17.5101,15.2274,18.8363,19.3063,22.2255
157,17.6573,18.2778,18.6408,31.2464,23.5635,20.7968,21.8950,17.3587,15.3073,19.2309,19.2561,22.7330
158,17.8323,18.0047,19.3604,31.9240,23.3937,21.6853,22.4028,17.9689,15.4646,18.7177,19.1170,22.4254
159,17.4234,18.1709,18.6613,32.7038,19.5158,21.1109,22.2257,17.4199,14.8577,19.1837,18.9396,23.2749
160,17.4373,18.7546,18.5443,33.3226,19.5865,21.0241,22.0007,17.4995,13.3772,20.0685,20.5942,23.5666
161,18.2153,17.5369,18.6147,32.8490,23.0961,21.5409,21.9870,16.4577,13.4387,19.1631,21.4588,23.8723
162,18.7998,17.7258,19.3141,33.2216,22.7716,20.6962,21.8421,16.7105,13.4458,18.6962,20.0420,24.3569
163,19.1923,16.8644,18.8910,32.5316,20.4943,19.6752,21.9683,17.1294,13.2274,19.2505,19.6149,25.0127
164,18.9949,16.4093,18.7854,31.4068,20.3088,19.9447,22.1703,16.5371,13.5480,18.9048,21.5512,24.9934
165,19.9761,17.4836,18.3076,32.0721,22.1721,20.8663,24.4103,16.7630,12.8107,19.4426,20.8151,24.8565
166,19.9734,17.1190,17.6032,32.2950,22.5981,20.0992,25.0632,16.9262,12.5987,18.9094,20.8661,25.4721
167,20.5689,17.7103,17.7285,32.7754,22.7339,20.7281,25.4512,16.9744,13.1070,18.5402,20.5862,25.7792
168,19.6943,18.0755,17.8803,33.1957,22.5804,20.1835,25.2905,17.0306,12.5747,19.8285,19.8611,24.7948
169,19.2101,18.4479,17.7352,31.8245,22.1479,22.9227,25.3253,16.4617,13.0539,20.0081,19.7258,24.6446
170,18.2861,19.2116,17.7123,32.1531,21.5738,15.9794,24.8487,15.5051,12.5181,19.6150,20.4118,24.4437
171,18.3561,18.4746,17.4931,32.2240,21.3246,22.3877,24.2822,15.3721,12.7551,18.9411,16.4645,25.0828
