#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
37.2%,1862500,7449.999999851479,-3488178.2423457187,568732.5175063967,310.87447715858156,112,2:41:11
37.3%,1865000,7459.999999851242,-3487580.367676733,569875.7678879276,311.49938843704695,112,2:41:03
37.4%,1867500,7469.999999851006,-3489449.4122869186,568208.1375047825,310.58784617861056,112,2:40:56
37.4%,1870000,7479.999999850769,-3490357.0338819046,569974.4048873279,311.5533043371814,112,2:40:48
37.5%,1872500,7489.999999850533,-3489036.8335496336,566615.3638625932,309.7172213101424,112,2:40:40
37.5%,1875000,7499.999999850296,-3489377.0988661684,568773.8395813787,310.89706418861715,112,2:40:32
37.5%,1877500,7509.99999985006,-3489377.9570100363,569926.1748754306,311.52694136465846,112,2:40:25
37.6%,1880000,7519.999999849823,-3485760.6357416473,567811.9594363321,310.37129156620466,112,2:40:17
37.6%,1882500,7529.999999849587,-3488906.660618782,569559.9325802919,311.3267499240251,112,2:40:09
37.7%,1885000,7539.99999984935,-3490520.338972084,568932.7347421807,310.98391775952587,112,2:40:02
37.8%,1887500,7549.999999849114,-3490704.656156026,569895.2545810533,311.5100400445259,112,2:39:54
37.8%,1890000,7559.999999848877,-3490333.7581018806,567240.4254570117,310.05888578399515,112,2:39:46
37.9%,1892500,7569.999999848641,-3487851.55971591,570325.1903622395,311.7450469362965,112,2:39:39
37.9%,1895000,7579.9999998484045,-3487602.6049260013,569989.0021366082,311.56128332923527,112,2:39:31
38.0%,1897500,7589.999999848168,-3488401.4410236925,569617.0696264971,311.35798156424033,112,2:39:23
38.0%,1900000,7599.999999847932,-3490099.372138256,565909.59949823,309.331443952571,112,2:39:15
38.0%,1902500,7609.999999847695,-3489595.07616036,569966.2825961316,311.54886461736356,112,2:39:08
38.1%,1905000,7619.999999847459,-3489610.0489347167,568167.0713798025,310.56539905322364,112,2:39:00
38.1%,1907500,7629.999999847222,-3486756.853391543,568877.9005085278,310.9539448580432,112,2:38:52
38.2%,1910000,7639.999999846986,-3486566.075203702,569227.2103656416,311.1448808707627,112,2:38:44
38.2%,1912500,7649.999999846749,-3490492.586560104,569200.1680373114,311.1300992828949,112,2:38:37
38.3%,1915000,7659.999999846513,-3489880.186706273,570161.4475712318,311.65554360568655,112,2:38:29
38.4%,1917500,7669.999999846276,-3490632.0474998783,570698.6292676977,311.9491721109814,112,2:38:21
38.4%,1920000,7679.99999984604,-3486422.0238068514,567432.4748061311,310.1638617422152,112,2:38:13
38.5%,1922500,7689.999999845803,-3487972.1739738304,570660.3536556151,311.92825030586596,112,2:38:06
38.5%,1925000,7699.999999845567,-3487635.9360541217,569198.3717517243,311.12911741650686,112,2:37:58
38.5%,1927500,7709.99999984533,-3485322.4408080615,569076.3358463079,311.0624114569861,112,2:37:50
38.6%,1930000,7719.999999845094,-3490280.4524352867,567130.2575167348,309.998666964464,112,2:37:42
38.6%,1932500,7729.9999998448575,-3490287.799520312,567860.2419903202,310.3976832587225,112,2:37:35
38.7%,1935000,7739.999999844621,-3487806.538912868,568527.518850325,310.76242298889224,112,2:37:27
38.8%,1937500,7749.999999844385,-3489805.530343419,569142.9848265002,311.0988424086772,112,2:37:19
38.8%,1940000,7759.999999844148,-3489019.4752576817,567686.559165074,310.3027466130625,112,2:37:12
38.9%,1942500,7769.999999843912,-3489497.299221365,568818.7208426938,310.92159670296456,112,2:37:04
38.9%,1945000,7779.999999843675,-3488070.116546916,568521.5920784168,310.7591833603121,112,2:36:56
39.0%,1947500,7789.999999843439,-3485967.2911518235,570355.199650821,311.7614502921985,112,2:36:48
39.0%,1950000,7799.999999843202,-3487789.4513083007,569323.8161281832,311.1976864779615,112,2:36:40
39.0%,1952500,7809.999999842966,-3490601.7649708483,568090.8175730275,310.52371801410095,112,2:36:33
39.1%,1955000,7819.999999842729,-3489655.7320871577,568924.2055872118,310.9792556441905,112,2:36:25
39.1%,1957500,7829.999999842493,-3490340.0877534393,569119.0213141731,311.0857437302366,112,2:36:17
39.2%,1960000,7839.999999842256,-3488837.5113839824,569629.6053970696,311.3648337328829,112,2:36:10
39.2%,1962500,7849.99999984202,-3490394.0457219686,569008.7964464276,311.0254937936223,112,2:36:02
39.3%,1965000,7859.999999841783,-3490173.3184532467,570019.1834441071,311.5777807122754,112,2:35:54
