#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
5.0%,247500,990.0000000032709,-3519239.733156534,574414.1820445627,311.365059477427,221,2:03:44
5.0%,250000,1000.0000000033186,-3517120.888130756,573505.0414001513,310.8722536943022,221,2:03:40
5.0%,252500,1010.0000000033664,-3518675.9959395733,575913.0393470374,312.17752512977574,221,2:03:39
5.1%,255000,1020.0000000034141,-3518679.981973471,574445.7194188687,311.3821545226635,221,2:03:35
5.2%,257500,1030.0000000032912,-3517385.576650776,573706.9167347552,310.98168157322783,221,2:03:32
5.2%,260000,1040.0000000030548,-3518679.186413072,574105.8369215745,311.19791893570664,221,2:03:28
5.2%,262500,1050.0000000028183,-3519258.894541176,571808.3233063947,309.9525362731575,221,2:03:24
5.3%,265000,1060.0000000025818,-3516923.8050991707,575233.9442243819,311.8094170644355,221,2:03:20
5.3%,267500,1070.0000000023454,-3518941.330522014,574799.368528654,311.573852394242,221,2:03:15
5.4%,270000,1080.000000002109,-3515362.915049251,573235.585319809,310.72619321894325,221,2:03:11
5.5%,272500,1090.0000000018724,-3514507.295779044,574380.3956751352,311.3467453493028,221,2:03:08
5.5%,275000,1100.000000001636,-3519086.2172625866,573225.8579580642,310.7209204372764,221,2:03:04
5.5%,277500,1110.0000000013995,-3519104.5248314794,574319.8487105309,311.3139254611028,221,2:03:01
5.6%,280000,1120.000000001163,-3518680.056897413,574276.9649881376,311.2906800517954,221,2:02:56
5.7%,282500,1130.0000000009265,-3520716.709660668,573997.3014456186,311.13908655311093,221,2:02:53
5.7%,285000,1140.00000000069,-3517723.47121159,573034.6502625938,310.6172750236817,221,2:02:47
5.8%,287500,1150.0000000004536,-3516713.2744809054,574402.248694954,311.3585909252449,221,2:02:44
5.8%,290000,1160.0000000002171,-3516582.9641820043,570816.9284001912,309.41514401581986,221,2:02:40
5.8%,292500,1169.9999999999807,-3519685.0047131833,575558.3265871623,311.98525069953314,221,2:02:36
5.9%,295000,1179.9999999997442,-3518221.3480849694,574094.8954010939,311.19198801115476,221,2:02:32
6.0%,297500,1189.9999999995077,-3517143.3606643304,574425.8544987029,311.3713866094708,221,2:02:27
6.0%,300000,1199.9999999992713,-3521105.645152364,574286.3496264326,311.2957670579179,221,2:02:24
6.0%,302500,1209.9999999990348,-3517146.313925149,575002.9429687595,311.68420128469927,221,2:02:21
6.1%,305000,1219.9999999987983,-3521311.6252472866,573898.3483978801,311.08544838999165,221,2:02:18
6.2%,307500,1229.9999999985619,-3520665.546523912,572571.0947416099,310.36600164486555,221,2:02:14
6.2%,310000,1239.9999999983254,-3517957.446429901,572350.3888717447,310.2463665480214,221,2:02:10
6.2%,312500,1249.999999998089,-3517647.866295442,575823.9084868736,312.1292111493002,221,2:02:05
6.3%,315000,1259.9999999978525,-3516250.8084332943,574525.1355606772,311.4252025749063,221,2:02:02
6.3%,317500,1269.999999997616,-3516820.2995211687,572556.9367803874,310.3583272270397,221,2:01:58
6.4%,320000,1279.9999999973795,-3516106.8853732888,575873.1074900926,312.15587979893036,221,2:01:54
6.5%,322500,1289.999999997143,-3520338.535558995,574690.7525139663,311.5149763550867,221,2:01:50
6.5%,325000,1299.9999999969066,-3518212.9286609106,572928.6789896291,310.55983258451334,221,2:01:47
6.5%,327500,1309.99999999667,-3519853.899062244,573540.701043275,310.89158324299575,221,2:01:42
6.6%,330000,1319.9999999964336,-3517682.302601384,574747.8543452235,311.54592878565234,221,2:01:38
6.7%,332500,1329.9999999961972,-3513815.5304847136,575610.5707701527,312.0135700092797,221,2:01:35
6.7%,335000,1339.9999999959607,-3516652.1208321266,574351.550033025,311.33110937555415,221,2:01:30
6.8%,337500,1349.9999999957242,-3518547.5002704673,574392.5475612863,311.35333236068317,221,2:01:26
6.8%,340000,1359.9999999954878,-3518393.117574703,575048.0286882626,311.7086403013069,221,2:01:23
6.8%,342500,1369.9999999952513,-3516874.665404491,574883.4870417676,311.6194493983855,221,2:01:19
6.9%,345000,1379.9999999950148,-3519938.318402119,573939.1840786438,311.1075836445993,221,2:01:16
7.0%,347500,1389.9999999947784,-3517115.0520963203,573048.6621895498,310.62487028265406,221,2:01:12
7.0%,350000,1399.999999994542,-3517030.2830559444,574119.2913787641,311.20521201445365,221,2:01:07
7.0%,352500,1409.9999999943054,-3520432.5695195682,573203.9271373131,310.70903268881716,221,2:01:03
7.1%,355000,1419.999999994069,-3519851.1538567096,573868.538734399,311.069289861994,221,2:00:59
7.2%,357500,1429.9999999938325,-3520240.5762586016,574707.8579269375,311.52424845889897,221,2:00:54
7.2%,360000,1439.999999993596,-3520666.7485037465,575890.5436900852,312.1653312080658,221,2:00:51
7.2%,362500,1449.9999999933596,-3516680.8261671774,571985.7545992135,310.0487140953084,221,2:00:47
7.3%,365000,1459.999999993123,-3519017.0554163046,575234.2498135406,311.8095827110883,221,2:00:43
7.3%,367500,1469.9999999928866,-3518782.397412859,575963.4461664241,312.20484848425934,221,2:00:39
7.4%,370000,1479.9999999926501,-3518167.9986539483,574138.1975949493,311.21546025572457,221,2:00:35
7.5%,372500,1489.9999999924137,-3520556.2140371725,573180.2203158294,310.69618224725076,221,2:00:31
7.5%,375000,1499.9999999921772,-3522797.8701533396,572896.9394550531,310.5426279569467,221,2:00:27
7.5%,377500,1509.9999999919407,-3521364.620247869,573642.8457447255,310.9469514634134,221,2:00:23
7.6%,380000,1519.9999999917043,-3516548.897640871,572381.2040581434,310.26307012645964,221,2:00:19
7.7%,382500,1529.9999999914678,-3517826.5507030133,574278.7993045358,311.29167435530024,221,2:00:15
7.7%,385000,1539.9999999912313,-3518403.6285834797,573475.9448092049,310.85648169205393,221,2:00:11
7.8%,387500,1549.9999999909949,-3517729.4807262104,574010.5946564852,311.14629222720737,221,2:00:07
7.8%,390000,1559.9999999907584,-3521088.5132068265,576252.3673499444,312.3614601493316,221,2:00:04
7.8%,392500,1569.999999990522,-3519283.4369034916,573903.7880806895,311.0883970065377,221,2:00:00
7.9%,395000,1579.9999999902855,-3517123.4850552194,576476.115003314,312.48274406532295,221,1:59:56
8.0%,397500,1589.999999990049,-3520891.538033098,576107.2576498911,312.28280246329217,221,1:59:52
8.0%,400000,1599.9999999898125,-3520467.3467307743,573735.2083532065,310.9970172347368,221,1:59:49
8.1%,402500,1609.999999989576,-3515760.270615587,576435.2434783778,312.46058938114123,221,1:59:45
8.1%,405000,1619.9999999893396,-3519127.7307376005,574370.9464365426,311.3416233261558,221,1:59:41
8.2%,407500,1629.9999999891031,-3512470.781675823,575201.475411176,311.7918171264969,221,1:59:38
8.2%,410000,1639.9999999888666,-3520448.0142472927,575290.0994483624,311.8398563801787,221,1:59:34
8.2%,412500,1649.9999999886302,-3516104.583469659,573386.2404510464,310.8078568431444,221,1:59:31
8.3%,415000,1659.9999999883937,-3519041.634709483,574333.5833824624,311.32137043212987,221,1:59:27
8.3%,417500,1669.9999999881572,-3515094.659226194,573905.5188904402,311.0893352035701,221,1:59:23
8.4%,420000,1679.9999999879208,-3519505.035575647,574942.4680265534,311.65142043672324,221,1:59:19
8.4%,422500,1689.9999999876843,-3515487.9012119863,574920.5055177412,311.639515511538,221,1:59:15
8.5%,425000,1699.9999999874478,-3518127.917441828,573444.896819605,310.8396519210793,221,1:59:11
8.6%,427500,1709.9999999872114,-3515972.0765860565,572874.1537087013,310.5302767903324,221,1:59:07
8.6%,430000,1719.999999986975,-3519688.606111534,572709.1672968459,310.44084479936475,221,1:59:03
8.7%,432500,1729.9999999867384,-3518292.0423459355,572953.0175560453,310.573025467657,221,1:58:59
8.7%,435000,1739.999999986502,-3518324.1497832555,573346.467749964,310.7862977838015,221,1:58:55
8.8%,437500,1749.9999999862655,-3518999.3819402587,572277.9729574735,310.20711301605957,221,1:58:51
8.8%,440000,1759.999999986029,-3518534.2175045386,576457.4650898783,312.4726347546762,221,1:58:47
8.8%,442500,1769.9999999857926,-3520578.303963773,575785.813491816,312.108561501759,221,1:58:43
8.9%,445000,1779.999999985556,-3515538.6233141515,573390.8711325417,310.8103669351029,221,1:58:40
8.9%,447500,1789.9999999853196,-3516650.8598247133,574417.0334151043,311.36660508195075,221,1:58:36
9.0%,450000,1799.9999999850832,-3522055.7935183197,572794.261235667,310.4869705395543,221,1:58:32
9.1%,452500,1809.9999999848467,-3523994.672283329,572004.868538566,310.05907493431516,221,1:58:28
9.1%,455000,1819.9999999846102,-3518567.363090316,573174.5362558146,310.6931011644017,221,1:58:24
9.2%,457500,1829.9999999843737,-3515844.1106704716,573800.5446725371,311.0324332247843,221,1:58:21
9.2%,460000,1839.9999999841373,-3519208.898339113,571196.0814774432,309.6206664839968,221,1:58:17
