#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
57.0%,2850000,11400.000000487487,-3529834.311720889,575492.0663266088,311.1604993863891,273,45:16
57.0%,2852500,11410.000000489525,-3532009.3688907884,576179.6056136687,311.53224224858855,273,45:13
57.1%,2855000,11420.000000491562,-3528231.04885854,575312.2716173871,311.06328690548463,273,45:10
57.1%,2857500,11430.0000004936,-3529418.0941886622,576176.2893351609,311.53044918325025,273,45:07
57.2%,2860000,11440.000000495636,-3525931.6609625313,574674.4088252186,310.71840342825783,273,45:04
57.2%,2862500,11450.000000497674,-3524011.6843231283,576882.6440205225,311.9123652677655,273,45:01
57.3%,2865000,11460.000000499711,-3527166.2360176276,574494.0225267388,310.62087108332787,273,44:58
57.4%,2867500,11470.000000501748,-3528379.205676332,576344.5836714895,311.6214435736164,273,44:54
57.4%,2870000,11480.000000503785,-3528976.1191872004,577596.386890995,312.2982760404844,273,44:51
57.5%,2872500,11490.000000505823,-3529903.8046992514,576709.8366012797,311.8189307166821,273,44:48
57.5%,2875000,11500.00000050786,-3528775.6752167344,577872.5545405755,312.4475960203519,273,44:45
57.5%,2877500,11510.000000509897,-3528453.3579316437,575422.667963248,311.12297666337787,273,44:42
57.6%,2880000,11520.000000511935,-3526518.032091303,574055.3917621775,310.3837095727995,273,44:39
57.6%,2882500,11530.000000513972,-3526072.1734832227,576563.2564796454,311.73967689805175,273,44:35
57.7%,2885000,11540.00000051601,-3528847.260665858,576525.138032808,311.7190667877692,273,44:32
57.8%,2887500,11550.000000518046,-3530317.990376519,573778.5356378254,310.2340173442663,273,44:29
57.8%,2890000,11560.000000520084,-3527139.1275020298,576031.1562567737,311.45197776063503,273,44:26
57.9%,2892500,11570.00000052212,-3523908.1136219576,577416.8064428448,312.2011794075401,273,44:23
57.9%,2895000,11580.000000524158,-3533704.4363955744,573704.5743983868,310.1940275380717,273,44:20
58.0%,2897500,11590.000000526195,-3525904.2152315974,573435.2988509964,310.04843402132116,273,44:16
58.0%,2900000,11600.000000528233,-3528728.9550859854,574520.8701657355,310.6353872256804,273,44:13
58.0%,2902500,11610.00000053027,-3529129.583867399,575251.9788208215,311.03068743489854,273,44:10
58.1%,2905000,11620.000000532307,-3526111.5271432195,578657.4213453734,312.8719625081327,273,44:07
58.1%,2907500,11630.000000534345,-3525664.829282917,573739.9378373108,310.2131480541647,273,44:04
58.2%,2910000,11640.000000536382,-3527446.8953516018,574943.9156706766,310.8641220046338,273,44:01
58.2%,2912500,11650.000000538419,-3526097.9858183656,577972.6431799844,312.50171254574593,273,43:58
58.3%,2915000,11660.000000540456,-3528502.699113652,574786.906332549,310.77922925472683,273,43:54
58.4%,2917500,11670.000000542494,-3530349.3434556555,574472.9314864292,310.60946745325316,273,43:51
58.4%,2920000,11680.00000054453,-3528574.001225006,574645.4988887557,310.7027722305518,273,43:48
58.5%,2922500,11690.000000546568,-3526849.8316950873,576614.1402911611,311.7671890622124,273,43:45
58.5%,2925000,11700.000000548605,-3530338.009819625,578130.0863688735,312.58683987268273,273,43:42
58.5%,2927500,11710.000000550643,-3531025.464311613,574296.8946521295,310.5142868026827,273,43:39
58.6%,2930000,11720.00000055268,-3527333.340513084,574849.7332726063,310.81319890120335,273,43:35
58.6%,2932500,11730.000000554717,-3529321.8935393393,575224.9977099745,311.01609912618613,273,43:32
58.7%,2935000,11740.000000556754,-3526175.2156051267,577849.114463088,312.43492229877796,273,43:29
58.8%,2937500,11750.000000558792,-3527458.395264754,574354.1101894605,310.54522244230367,273,43:26
58.8%,2940000,11760.000000560829,-3528345.375901947,576302.6741614623,311.5987836885682,273,43:23
58.9%,2942500,11770.000000562866,-3527792.806827413,576775.009586595,311.85416883696877,273,43:20
58.9%,2945000,11780.000000564904,-3525159.228430163,575786.0613389402,311.31945837158946,273,43:17
59.0%,2947500,11790.00000056694,-3527583.740023222,577440.1135027297,312.2137812083596,273,43:13
59.0%,2950000,11800.000000568978,-3527317.488229001,578002.2352703065,312.5177125744887,273,43:10
59.0%,2952500,11810.000000571015,-3530966.1201151405,574367.6996691197,310.5525700836085,273,43:07
59.1%,2955000,11820.000000573053,-3523798.7611823212,577341.2855438609,312.1603463152754,273,43:04
59.1%,2957500,11830.00000057509,-3526754.209475141,576041.6768729396,311.45766611043433,273,43:01
59.2%,2960000,11840.000000577127,-3527727.5054776836,575822.8988097045,311.3393758760519,273,42:58
59.2%,2962500,11850.000000579164,-3528702.121729398,574661.4193181053,310.7113801837048,273,42:54
59.3%,2965000,11860.000000581202,-3528758.993231524,576065.9218779305,311.4707750450349,273,42:51
59.4%,2967500,11870.000000583239,-3525828.9240398314,575771.479408772,311.3115741261956,273,42:48
59.4%,2970000,11880.000000585276,-3528373.3326003496,576106.8264562212,311.49289157756914,273,42:45
59.5%,2972500,11890.000000587313,-3526843.5480684955,574171.4455872288,310.44645825044705,273,42:42
59.5%,2975000,11900.00000058935,-3529123.126588814,573844.2802012423,310.2695645088264,273,42:39
59.5%,2977500,11910.000000591388,-3526263.466516072,578956.6200734094,313.0337350695265,273,42:36
59.6%,2980000,11920.000000593425,-3529134.7520335913,575019.6059128977,310.90504665841496,273,42:32
59.6%,2982500,11930.000000595463,-3529260.54862405,575961.888714251,311.4145257706185,273,42:29
59.7%,2985000,11940.0000005975,-3527937.704282431,574515.7137078336,310.632599201119,273,42:26
59.8%,2987500,11950.000000599537,-3526585.6642267145,576130.3488391964,311.5056098005675,273,42:23
59.8%,2990000,11960.000000601574,-3525669.8317260165,575922.5527865608,311.393257385492,273,42:20
59.9%,2992500,11970.000000603612,-3527562.95066528,576221.7239775836,311.5550150580084,273,42:17
59.9%,2995000,11980.000000605649,-3527856.935837729,576386.6963318846,311.64421329922294,273,42:13
60.0%,2997500,11990.000000607686,-3528033.086820876,575060.5066618274,310.92716112046736,273,42:10
60.0%,3000000,12000.000000609723,-3525468.2579359133,576062.5204031612,311.46893591527135,273,42:07
60.0%,3002500,12010.00000061176,-3527461.658118665,575299.9603975604,311.0566304013667,273,42:04
60.1%,3005000,12020.000000613798,-3529471.3863413576,576421.8926622906,311.66324346208097,273,42:01
60.1%,3007500,12030.000000615835,-3527608.8723607827,574600.2372999606,310.6782999234661,273,41:58
60.2%,3010000,12040.000000617873,-3528751.484630391,574958.9903501908,310.8722726726972,273,41:54
60.2%,3012500,12050.00000061991,-3529480.390712397,575830.4672999613,311.34346805272247,273,41:51
60.3%,3015000,12060.000000621947,-3525147.1479301024,575370.4054051084,311.0947190302297,273,41:48
60.4%,3017500,12070.000000623984,-3527808.212229088,572455.1207468046,309.5184654496696,273,41:45
60.4%,3020000,12080.000000626022,-3528046.601554975,575378.6617135492,311.0991831005581,273,41:42
60.5%,3022500,12090.000000628059,-3529311.393116357,576443.7919828624,311.6750841179719,273,41:39
60.5%,3025000,12100.000000630096,-3529641.721649073,578513.7757273756,312.79429533451525,273,41:36
60.5%,3027500,12110.000000632133,-3527744.2846881505,575504.1632521838,311.16704002460676,273,41:32
60.6%,3030000,12120.00000063417,-3528245.5069378894,576788.7629938924,311.86160511165144,273,41:29
60.6%,3032500,12130.000000636208,-3530972.0008367654,574858.2229198985,310.8177891345803,273,41:26
60.7%,3035000,12140.000000638245,-3527306.4872025233,575201.3890455943,311.0033342520406,273,41:23
60.8%,3037500,12150.000000640282,-3524579.703411814,576099.8659074372,311.48912810633755,273,41:20
60.8%,3040000,12160.00000064232,-3528852.3530973345,576561.1634594842,311.7385452313675,273,41:17
60.9%,3042500,12170.000000644357,-3526082.110905649,577014.3336746122,311.98356801916424,273,41:13
60.9%,3045000,12180.000000646394,-3528887.5280399453,574079.0731086018,310.39651374510817,273,41:10
61.0%,3047500,12190.000000648432,-3530160.1166263726,575602.6247034415,311.22027675215924,273,41:07
61.0%,3050000,12200.000000650469,-3528088.8511496335,575679.187456768,311.2616731604739,273,41:04
61.0%,3052500,12210.000000652506,-3528535.29317254,575532.9587736545,311.18260935972916,273,41:01
61.1%,3055000,12220.000000654543,-3527112.3152879085,575299.5136835357,311.05638886935066,273,40:58
61.1%,3057500,12230.00000065658,-3526703.078646498,575546.8838990778,311.19013847999724,273,40:54
61.2%,3060000,12240.000000658618,-3523376.1807517484,576299.4221768184,311.5970253860215,273,40:51
61.2%,3062500,12250.000000660655,-3526724.1642611045,576127.7667178216,311.50421368370775,273,40:48
61.3%,3065000,12260.000000662692,-3527959.4305130914,575488.7878652354,311.1587267682457,273,40:45
61.4%,3067500,12270.00000066473,-3529864.9351929966,574934.0557686167,310.858790893697,273,40:42
61.4%,3070000,12280.000000666767,-3526659.309858931,575925.0388199645,311.3946015489317,273,40:39
61.5%,3072500,12290.000000668804,-3529530.936848281,572358.7792421409,309.4663749475465,273,40:35
61.5%,3075000,12300.000000670841,-3527475.6823648885,575853.029531559,311.3556671353198,273,40:32
61.5%,3077500,12310.000000672879,-3528617.8908263594,574582.5140294037,310.6687171993246,273,40:29
61.6%,3080000,12320.000000674916,-3529888.3831413947,575373.7285022918,311.0965157823304,273,40:26
61.6%,3082500,12330.000000676953,-3531919.94807549,577902.609434153,312.4638462803325,273,40:23
61.7%,3085000,12340.00000067899,-3528513.020612661,576851.7077740934,311.89563847264304,273,40:20
61.8%,3087500,12350.000000681028,-3528857.960464742,575558.5722202868,311.1964581915575,273,40:17
61.8%,3090000,12360.000000683065,-3529126.2554582655,574954.8239745264,310.87001997173354,273,40:13
61.9%,3092500,12370.000000685102,-3530776.503107924,577076.1568243686,312.016994930285,273,40:10
61.9%,3095000,12380.00000068714,-3528636.3770805616,575379.4361493937,311.0996018271718,273,40:07
62.0%,3097500,12390.000000689177,-3528222.052341152,574988.2281606131,310.88808114726055,273,40:04
62.0%,3100000,12400.000000691214,-3529405.6442438364,578665.7330485103,312.87645652959736,273,40:01
62.0%,3102500,12410.000000693251,-3526152.547024289,577467.8706175026,312.22878909152536,273,39:58
62.1%,3105000,12420.000000695289,-3527256.7849308774,578763.6677820096,312.92940846823564,273,39:54
62.1%,3107500,12430.000000697326,-3530587.600474447,575611.0514462439,311.2248329739597,273,39:51
62.2%,3110000,12440.000000699363,-3527292.767498648,575467.9530626135,311.1474616822996,273,39:48
62.2%,3112500,12450.0000007014,-3528517.441302687,575876.3474292832,311.3682747960071,273,39:45
62.3%,3115000,12460.000000703438,-3528692.9733538516,575749.9341270088,311.29992489412945,273,39:42
62.4%,3117500,12470.000000705475,-3529335.4970495887,576440.6253772038,311.67337197864674,273,39:39
62.4%,3120000,12480.000000707512,-3527126.615611965,573927.2037941895,310.3144001340281,273,39:35
62.5%,3122500,12490.00000070955,-3527064.925399592,575192.9737845514,310.9987842382666,273,39:32
62.5%,3125000,12500.000000711587,-3528744.6548623145,574367.2251839131,310.5523135361034,273,39:29
62.5%,3127500,12510.000000713624,-3526487.4491705336,575381.296007772,311.10060742654605,273,39:26
62.6%,3130000,12520.000000715661,-3527751.4153386373,576569.5745815928,311.74309300727754,273,39:23
62.6%,3132500,12530.000000717699,-3527095.3772784453,575666.3240745324,311.2547181098755,273,39:20
62.7%,3135000,12540.000000719736,-3526539.9617683925,576321.9326353399,311.60919647564174,273,39:17
62.8%,3137500,12550.000000721773,-3526190.202878138,575204.2327222263,311.00487178816434,273,39:13
62.8%,3140000,12560.00000072381,-3527790.5657951497,575218.2908395114,311.01247281526935,273,39:10
62.9%,3142500,12570.000000725848,-3525576.086815655,575486.3210070455,311.1573929725755,273,39:07
62.9%,3145000,12580.000000727885,-3526321.6689064596,575645.4265764393,311.24341912536636,273,39:04
