feature,importance
fp_482,0.0
fp_481,0.0
fp_480,0.0
fp_479,0.0
fp_478,0.0
fp_477,0.0
fp_476,0.0
fp_443,0.0
fp_441,0.0
fp_379,0.0
fp_394,0.0
fp_407,0.0
fp_406,0.0
fp_405,0.0
fp_404,0.0
fp_403,0.0
fp_402,0.0
fp_401,0.0
fp_400,0.0
fp_399,0.0
fp_398,0.0
fp_397,0.0
fp_396,0.0
fp_395,0.0
fp_393,0.0
fp_409,0.0
fp_392,0.0
fp_391,0.0
fp_390,0.0
fp_389,0.0
fp_388,0.0
fp_387,0.0
fp_386,0.0
fp_385,0.0
fp_384,0.0
fp_383,0.0
fp_382,0.0
fp_381,0.0
fp_380,0.0
fp_408,0.0
fp_410,0.0
fp_440,0.0
fp_426,0.0
fp_439,0.0
fp_438,0.0
fp_437,0.0
fp_436,0.0
fp_435,0.0
fp_434,0.0
fp_433,0.0
fp_432,0.0
fp_431,0.0
fp_430,0.0
fp_429,0.0
fp_428,0.0
fp_427,0.0
fp_425,0.0
fp_411,0.0
fp_424,0.0
fp_423,0.0
fp_422,0.0
fp_421,0.0
fp_420,0.0
fp_419,0.0
fp_418,0.0
fp_417,0.0
fp_416,0.0
fp_415,0.0
fp_414,0.0
fp_413,0.0
fp_412,0.0
fp_250,0.0
fp_249,0.0
fp_248,0.0
fp_72,0.0
fp_85,0.0
fp_84,0.0
fp_83,0.0
fp_82,0.0
fp_81,0.0
fp_80,0.0
fp_79,0.0
fp_78,0.0
fp_77,0.0
fp_76,0.0
fp_75,0.0
fp_74,0.0
fp_73,0.0
fp_71,0.0
fp_87,0.0
fp_70,0.0
fp_69,0.0
fp_68,0.0
fp_67,0.0
fp_66,0.0
fp_65,0.0
fp_64,0.0
fp_63,0.0
fp_62,0.0
fp_61,0.0
fp_60,0.0
fp_59,0.0
fp_58,0.0
fp_86,0.0
fp_88,0.0
fp_56,0.0
fp_104,0.0
fp_117,0.0
fp_116,0.0
fp_115,0.0
fp_114,0.0
fp_113,0.0
fp_112,0.0
fp_111,0.0
fp_110,0.0
fp_109,0.0
fp_108,0.0
fp_107,0.0
fp_106,0.0
fp_105,0.0
fp_103,0.0
fp_89,0.0
fp_102,0.0
fp_101,0.0
fp_100,0.0
fp_99,0.0
fp_98,0.0
fp_97,0.0
fp_96,0.0
fp_95,0.0
fp_94,0.0
fp_93,0.0
fp_92,0.0
fp_91,0.0
fp_90,0.0
fp_57,0.0
fp_55,0.0
fp_119,0.0
fp_8,0.0
fp_21,0.0
fp_20,0.0
fp_19,0.0
fp_18,0.0
fp_17,0.0
fp_16,0.0
fp_15,0.0
fp_14,0.0
fp_13,0.0
fp_12,0.0
fp_11,0.0
fp_10,0.0
fp_9,0.0
fp_7,0.0
fp_23,0.0
fp_6,0.0
fp_5,0.0
fp_4,0.0
fp_3,0.0
fp_2,0.0
fp_1,0.0
fp_0,0.0
pgp_risk,0.0
permeability_score,0.0
pains_alerts,0.0
veber_violations,0.0
hbd,0.0
tpsa,0.0
fp_22,0.0
fp_24,0.0
fp_54,0.0
fp_40,0.0
fp_53,0.0
fp_52,0.0
fp_51,0.0
fp_50,0.0
fp_49,0.0
fp_48,0.0
fp_47,0.0
fp_46,0.0
fp_45,0.0
fp_44,0.0
fp_43,0.0
fp_42,0.0
fp_41,0.0
fp_39,0.0
fp_25,0.0
fp_38,0.0
fp_37,0.0
fp_36,0.0
fp_35,0.0
fp_34,0.0
fp_33,0.0
fp_32,0.0
fp_31,0.0
fp_30,0.0
fp_29,0.0
fp_28,0.0
fp_27,0.0
fp_26,0.0
fp_118,0.0
fp_120,0.0
fp_247,0.0
fp_200,0.0
fp_213,0.0
fp_212,0.0
fp_211,0.0
fp_210,0.0
