#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
15.0%,750000,2999.999999956707,-3521230.1994670313,574084.0205207705,311.16085047703905,112,3:39:26
15.1%,752500,3009.9999999564707,-3518781.060285434,574508.7408279929,311.3910542926588,112,3:39:18
15.1%,755000,3019.999999956234,-3521108.0030137803,575233.8822512473,311.78409017923735,112,3:39:11
15.2%,757500,3029.9999999559977,-3517512.708817428,573450.9218957061,310.81770295930784,112,3:39:03
15.2%,760000,3039.9999999557613,-3522717.4577098377,573657.4638114227,310.92965130807954,112,3:38:55
15.2%,762500,3049.999999955525,-3520424.2362702377,574361.9662025513,311.31150057639366,112,3:38:47
15.3%,765000,3059.9999999552883,-3522333.9306989927,575144.1553013457,311.73545702965635,112,3:38:40
15.3%,767500,3069.999999955052,-3518811.240717495,573819.5548767822,311.0175067298456,112,3:38:32
15.4%,770000,3079.9999999548154,-3519738.9279269595,572360.3577518702,310.2266033042644,112,3:38:24
15.4%,772500,3089.999999954579,-3521479.577296339,572708.8127574739,310.4154703551158,112,3:38:16
15.5%,775000,3099.9999999543425,-3519566.2879728694,572998.8210904344,310.5726585650359,112,3:38:09
15.6%,777500,3109.999999954106,-3518166.87902952,573552.9917670895,310.8730261295276,112,3:38:01
15.6%,780000,3119.9999999538695,-3520388.096139066,572822.6994072224,310.4771983697043,112,3:37:54
15.7%,782500,3129.999999953633,-3520576.0089595243,573916.5931885506,311.0701027306736,112,3:37:47
15.7%,785000,3139.9999999533966,-3518917.87076197,574098.2844595326,311.1685817135092,112,3:37:39
15.8%,787500,3149.99999995316,-3517143.106136514,573370.0500549364,310.7738693916521,112,3:37:31
15.8%,790000,3159.9999999529236,-3519391.002080772,573833.4453047265,311.0250355186955,112,3:37:23
15.8%,792500,3169.999999952687,-3519014.0155780017,574343.9575377933,311.3017396507421,112,3:37:15
15.9%,795000,3179.9999999524507,-3518030.684241414,570560.1665259055,309.25087673311833,112,3:37:07
15.9%,797500,3189.9999999522142,-3518960.0054956246,574899.6419136222,311.602927659464,112,3:37:00
16.0%,800000,3199.9999999519778,-3517955.3986485526,574433.7037433041,311.35038323710864,112,3:36:52
16.1%,802500,3209.9999999517413,-3520353.055067485,575140.5828840416,311.73352073398024,112,3:36:44
16.1%,805000,3219.999999951505,-3519924.9396257475,573672.0487657113,310.9375565390534,112,3:36:37
16.1%,807500,3229.9999999512684,-3521141.757853819,574399.4453773932,311.33181476648105,112,3:36:29
16.2%,810000,3239.999999951032,-3519677.3313713763,574815.7692206588,311.5574675917014,112,3:36:21
16.2%,812500,3249.9999999507954,-3518353.2437779196,572302.7450333389,310.1953764770829,112,3:36:13
16.3%,815000,3259.999999950559,-3519952.811656814,575331.0187626842,311.83673940553643,112,3:36:05
16.4%,817500,3269.9999999503225,-3518761.5796707757,574135.3432560322,311.18866805318123,112,3:35:57
16.4%,820000,3279.999999950086,-3521069.3000301085,573989.0928238009,311.109398456312,112,3:35:50
16.4%,822500,3289.9999999498496,-3519585.7437898647,573724.9009323067,310.9662030864568,112,3:35:42
16.5%,825000,3299.999999949613,-3518033.6235301755,573189.244967835,310.67587073176605,112,3:35:34
16.6%,827500,3309.9999999493766,-3519880.9260040876,573423.8334848622,310.8030206956409,112,3:35:26
16.6%,830000,3319.99999994914,-3521055.4975134097,577005.5113990683,312.7443357402718,112,3:35:18
16.6%,832500,3329.9999999489037,-3517987.5509904698,575240.2431115052,311.78753784650706,112,3:35:10
16.7%,835000,3339.999999948667,-3522043.5507627577,574731.4529108574,311.51176707796293,112,3:35:03
