compound_id,smiles,cnn_affinity,type,has_smiles,drug_name,final_smiles
2910,SMILES NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,4.8358283,Natural,True,,SMILES NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
401029,SMILES CCCCn1c(C)c2c(OCCO)nn(C)c(=O)c2c1C,4.03909731,Natural,True,,SMILES CCCCn1c(C)c2c(OCCO)nn(C)c(=O)c2c1C
6243,SMILES C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,4.58292198,Natural,True,,SMILES C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
5501,SMILES CCOC(=O)NNc1nncc2ccccc12,3.84871602,Natural,True,,SMILES CCOC(=O)NNc1nncc2ccccc12
400497,SMILES CCn1ncc(Oc2c(Cl)cc(N)cc2Cl)c(Cl)c1=O,3.8348701,Natural,True,,SMILES CCn1ncc(Oc2c(Cl)cc(N)cc2Cl)c(Cl)c1=O
6546,SMILES CCC(C)(O)C#CC(C)(O)CC,3.52126479,Natural,True,,SMILES CCC(C)(O)C#CC(C)(O)CC
200402,,3.48470664,Natural,False,,
5724,SMILES O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,4.69328737,Natural,True,,SMILES O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21
6424,SMILES CC(C)(O)C(Br)(Br)Br,3.31572437,Natural,True,,SMILES CC(C)(O)C(Br)(Br)Br
20475,SMILES CC12CCC(=O)OC1CCC1C2CCC2(C)C1CCC2(C)O,5.83785582,Natural,True,,SMILES CC12CCC(=O)OC1CCC1C2CCC2(C)C1CCC2(C)O
6833,SMILES CCN(CC)C(C)C=C(c1cccs1)c1cccs1,4.58719969,Natural,True,,SMILES CCN(CC)C(C)C=C(c1cccs1)c1cccs1
20255,SMILES CCCCCCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O,4.42776442,Natural,True,,SMILES CCCCCCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O
300178,SMILES COc1cccc(C(C)=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1OC,4.5698905,Natural,True,,SMILES COc1cccc(C(C)=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1OC
20436,SMILES CC(C)C(=O)Nc1ccccc1,2.86652946,Natural,True,,SMILES CC(C)C(=O)Nc1ccccc1
50167,SMILES COc1cc(CNC(C)(C)Cc2ccccc2)c(Br)cc1O,4.13200188,Natural,True,,SMILES COc1cc(CNC(C)(C)Cc2ccccc2)c(Br)cc1O
201537,SMILES CCCCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,4.27633429,Natural,True,,SMILES CCCCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
300255,SMILES CN(C)CCS(=O)(=O)Cc1ccccc1,2.85151553,Natural,True,,SMILES CN(C)CCS(=O)(=O)Cc1ccccc1
400839,SMILES Cc1cc2nc3c(C(O)CO)nn(-c4ccccc4)c3nc2cc1C,4.32197762,Natural,True,,SMILES Cc1cc2nc3c(C(O)CO)nn(-c4ccccc4)c3nc2cc1C
438,SMILES O=C(O)CCC(O)c1cccnc1,2.90286756,Natural,True,,SMILES O=C(O)CCC(O)c1cccnc1
401294,SMILES Cc1ccc(-c2c(-c3ccccc3)ccn2C)cc1,3.55130124,Natural,True,,SMILES Cc1ccc(-c2c(-c3ccccc3)ccn2C)cc1
300469,SMILES COc1ccc(C2NC(=O)N3C(c4ccc(OC)c(OC)c4)NC(=O)N23)cc1OC,4.87226629,Natural,True,,SMILES COc1ccc(C2NC(=O)N3C(c4ccc(OC)c(OC)c4)NC(=O)N23)cc1OC
DECOY_decoy_4594,SMILES COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,4.37911272,Natural,True,,SMILES COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
201777,SMILES O=C1CCCC2C3CC(CN12)C1CC(O)CCN1C3,4.35121059,Natural,True,,SMILES O=C1CCCC2C3CC(CN12)C1CC(O)CCN1C3
300244,SMILES O=NC12CCCCC1C(O)c1cc(Cl)cc(Cl)c1O2,5.4703846,Natural,True,,SMILES O=NC12CCCCC1C(O)c1cc(Cl)cc(Cl)c1O2
401589,SMILES O=[N+]([O-])c1cc2oc(COc3ccccc3)nc2cc1Cl,3.85579705,Natural,True,,SMILES O=[N+]([O-])c1cc2oc(COc3ccccc3)nc2cc1Cl
20985,SMILES C=COC(=O)C1CCCCC1,3.79205823,Natural,True,,SMILES C=COC(=O)C1CCCCC1
6463,SMILES O=C(O)C(O)(c1ccccc1)c1ccccc1,3.52616763,Natural,True,,SMILES O=C(O)C(O)(c1ccccc1)c1ccccc1
20723,,3.4620378,Natural,False,,
301248,SMILES CCON=C1C(C)(C)C(C)(C)C(C)(C)C1(C)C,4.35209036,Natural,True,,SMILES CCON=C1C(C)(C)C(C)(C)C(C)(C)C1(C)C
400568,SMILES Cc1ccc(-n2c(-c3cc(=O)oc4ccccc34)noc2=O)cc1,5.48400497,Natural,True,,SMILES Cc1ccc(-n2c(-c3cc(=O)oc4ccccc34)noc2=O)cc1
401356,SMILES COc1cc(C(=O)N(C(=S)N2CCN(c3ccccc3)CC2)c2ccccc2)cc(OC)c1OC,4.57193375,Natural,True,,SMILES COc1cc(C(=O)N(C(=S)N2CCN(c3ccccc3)CC2)c2ccccc2)cc(OC)c1OC
300177,SMILES COc1cc2ccc3c4cc5c(cc4cnc3c2cc1OC)OCO5,5.02541924,Natural,True,,SMILES COc1cc2ccc3c4cc5c(cc4cnc3c2cc1OC)OCO5
2895,SMILES CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,3.81122303,Natural,True,,SMILES CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
400152,SMILES Cc1ccc(N2C(=O)C(=O)N(NC3=c4ccccc4=NC3=O)C2=S)cc1,4.64169693,Natural,True,,SMILES Cc1ccc(N2C(=O)C(=O)N(NC3=c4ccccc4=NC3=O)C2=S)cc1
50015,SMILES O=C(O)CCCCCNC(=O)OCc1ccc(I)cc1,4.18131399,Natural,True,,SMILES O=C(O)CCCCCNC(=O)OCc1ccc(I)cc1
401380,SMILES COc1cc(OC)cc(C(=O)NCC(=O)NN=Cc2ccco2)c1,3.92935491,Natural,True,,SMILES COc1cc(OC)cc(C(=O)NCC(=O)NN=Cc2ccco2)c1
201406,SMILES O=C(Cc1ccccc1C(=O)O)Cc1ccccc1C(=O)O,4.16264105,Natural,True,,SMILES O=C(Cc1ccccc1C(=O)O)Cc1ccccc1C(=O)O
6199,SMILES O=c1ccc2cc3ccoc3cc2o1,3.12103844,Natural,True,,SMILES O=c1ccc2cc3ccoc3cc2o1
2854,SMILES CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,6.44188452,Natural,True,,SMILES CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
2969,SMILES CCCCCCCCCC(=O)O,4.34617949,Natural,True,,SMILES CCCCCCCCCC(=O)O
301197,SMILES CC(=O)C1(Cl)CCC(C(C)(C)C)CC1,4.38516426,Natural,True,,SMILES CC(=O)C1(Cl)CCC(C(C)(C)C)CC1
400674,SMILES CS(=O)(=O)n1ccn(S(=O)(=O)c2ccccc2)c1=O,3.84824634,Natural,True,,SMILES CS(=O)(=O)n1ccn(S(=O)(=O)c2ccccc2)c1=O
20053,,4.53908205,Natural,False,,
300498,SMILES Cc1ccc(C(=O)OCc2ccccc2CN2CCOCC2)cc1,3.94757533,Natural,True,,SMILES Cc1ccc(C(=O)OCc2ccccc2CN2CCOCC2)cc1
300722,SMILES CC(=O)c1ccc(O)c2ccccc12,3.08090663,Natural,True,,SMILES CC(=O)c1ccc(O)c2ccccc12
6305,SMILES NC(Cc1c[nH]c2ccccc12)C(=O)O,3.6241715,Natural,True,,SMILES NC(Cc1c[nH]c2ccccc12)C(=O)O
300501,SMILES O=C(O)c1ccccc1C(=O)N1CCCC1,4.32106113,Natural,True,,SMILES O=C(O)c1ccccc1C(=O)N1CCCC1
994,SMILES NC(Cc1ccccc1)C(=O)O,4.25512457,Natural,True,,SMILES NC(Cc1ccccc1)C(=O)O
201403,SMILES CC(Cc1cccc(C(F)(F)F)c1)N(C)Cc1ccccc1,3.38087201,Natural,True,,SMILES CC(Cc1cccc(C(F)(F)F)c1)N(C)Cc1ccccc1
200307,,4.14116526,Natural,False,,
20000,,3.0869205,Natural,False,,
20958,SMILES CCCc1ccc(CCC)cc1,4.43326807,Natural,True,,SMILES CCCc1ccc(CCC)cc1
